user_id,timestamp,event_name,user_plan,user_country,user_source,user_industry,prop_key,prop_value
user_175,2024-01-02T00:00:00,page_viewed,enterprise,FR,paid_search,saas,page,/home
user_175,2024-01-02T00:01:19,button_clicked,enterprise,FR,paid_search,saas,button_id,invite-member
user_175,2024-01-02T00:04:55,project_created,enterprise,FR,paid_search,saas,template,blank
user_175,2024-01-02T00:11:12,button_clicked,enterprise,FR,paid_search,saas,button_id,invite-member
user_175,2024-01-02T00:18:44,export_completed,enterprise,FR,paid_search,saas,format,xlsx
user_175,2024-01-02T00:28:28,search_performed,enterprise,FR,paid_search,saas,query_length,38
user_175,2024-01-02T00:37:50,page_viewed,enterprise,FR,paid_search,saas,page,/settings
user_175,2024-01-02T00:46:27,page_viewed,enterprise,FR,paid_search,saas,page,/projects
user_175,2024-01-02T00:51:19,search_performed,enterprise,FR,paid_search,saas,query_length,24
user_175,2024-01-02T00:56:59,button_clicked,enterprise,FR,paid_search,saas,button_id,create-report
user_175,2024-01-02T01:04:03,search_performed,enterprise,FR,paid_search,saas,query_length,16
user_175,2024-01-02T01:06:59,export_started,enterprise,FR,paid_search,saas,format,csv
user_175,2024-01-02T01:12:49,profile_updated,enterprise,FR,paid_search,saas,,
user_175,2024-01-02T01:20:40,export_completed,enterprise,FR,paid_search,saas,format,pdf
user_175,2024-01-02T01:22:32,page_viewed,enterprise,FR,paid_search,saas,page,/team
user_175,2024-01-02T01:32:21,feature_tour_completed,enterprise,FR,paid_search,saas,,
user_192,2024-01-03T00:00:00,page_viewed,pro,GB,referral,finance,page,/settings
user_192,2024-01-03T00:01:56,export_completed,pro,GB,referral,finance,format,csv
user_192,2024-01-03T00:07:02,button_clicked,pro,GB,referral,finance,button_id,run-ai
user_192,2024-01-03T00:11:50,search_performed,pro,GB,referral,finance,query_length,26
user_192,2024-01-03T00:21:40,search_performed,pro,GB,referral,finance,query_length,35
user_192,2024-01-03T00:24:16,export_started,pro,GB,referral,finance,format,pdf
user_192,2024-01-03T00:32:27,button_clicked,pro,GB,referral,finance,button_id,export
user_192,2024-01-03T00:36:41,export_started,pro,GB,referral,finance,format,csv
user_192,2024-01-03T00:38:45,ai_summary_requested,pro,GB,referral,finance,doc_type,cohort
user_192,2024-01-03T00:39:06,dashboard_opened,pro,GB,referral,finance,section,overview
user_192,2024-01-03T00:43:08,ai_summary_viewed,pro,GB,referral,finance,rating,helpful
user_192,2024-01-04T04:52:36,page_viewed,pro,GB,referral,finance,page,/reports
user_192,2024-01-04T04:53:42,page_viewed,pro,GB,referral,finance,page,/team
user_192,2024-01-04T04:58:58,page_viewed,pro,GB,referral,finance,page,/settings
user_117,2024-01-06T00:00:00,page_viewed,enterprise,DE,paid_search,media,page,/home
user_117,2024-01-06T00:03:15,ai_summary_viewed,enterprise,DE,paid_search,media,rating,not_helpful
user_117,2024-01-06T00:12:44,page_viewed,enterprise,DE,paid_search,media,page,/billing
user_117,2024-01-06T00:17:14,export_failed,enterprise,DE,paid_search,media,reason,timeout
user_199,2024-01-08T00:00:00,page_viewed,pro,PL,organic,media,page,/home
user_199,2024-01-08T00:03:59,settings_opened,pro,PL,organic,media,tab,team
user_199,2024-01-08T00:09:36,export_started,pro,PL,organic,media,format,csv
user_199,2024-01-08T00:15:12,project_created,pro,PL,organic,media,template,ecom-template
user_199,2024-01-08T00:17:35,dashboard_opened,pro,PL,organic,media,section,events
user_199,2024-01-08T00:26:35,dashboard_opened,pro,PL,organic,media,section,overview
user_199,2024-01-08T00:33:42,page_viewed,pro,PL,organic,media,page,/settings
user_199,2024-01-08T00:43:08,feature_tour_started,pro,PL,organic,media,,
user_199,2024-01-08T00:50:47,search_performed,pro,PL,organic,media,query_length,21
user_199,2024-01-08T00:59:02,ai_summary_requested,pro,PL,organic,media,doc_type,event_log
user_199,2024-01-08T01:06:36,button_clicked,pro,PL,organic,media,button_id,upgrade-plan
user_199,2024-01-08T01:08:24,invite_sent,pro,PL,organic,media,role,admin
user_199,2024-01-08T01:10:40,feature_tour_started,pro,PL,organic,media,,
user_199,2024-01-08T01:20:26,filter_applied,pro,PL,organic,media,filter_key,user_segment
user_199,2024-01-08T01:24:24,button_clicked,pro,PL,organic,media,button_id,invite-member
user_175,2024-01-08T03:35:54,page_viewed,enterprise,FR,paid_search,saas,page,/team
user_175,2024-01-08T03:36:14,button_clicked,enterprise,FR,paid_search,saas,button_id,run-ai
user_175,2024-01-08T03:37:39,export_started,enterprise,FR,paid_search,saas,format,xlsx
user_175,2024-01-08T03:46:18,link_clicked,enterprise,FR,paid_search,saas,href,/docs
user_175,2024-01-08T03:52:36,dashboard_opened,enterprise,FR,paid_search,saas,section,events
user_175,2024-01-08T04:01:22,invite_sent,enterprise,FR,paid_search,saas,role,editor
user_175,2024-01-08T15:10:35,page_viewed,enterprise,FR,paid_search,saas,page,/team
user_175,2024-01-08T15:12:31,report_created,enterprise,FR,paid_search,saas,report_type,monthly
user_175,2024-01-08T15:12:55,page_viewed,enterprise,FR,paid_search,saas,page,/billing
user_175,2024-01-08T15:22:08,report_created,enterprise,FR,paid_search,saas,report_type,monthly
user_175,2024-01-08T15:27:52,project_created,enterprise,FR,paid_search,saas,template,ecom-template
user_175,2024-01-08T15:33:34,filter_applied,enterprise,FR,paid_search,saas,filter_key,date_range
user_175,2024-01-08T15:43:01,page_viewed,enterprise,FR,paid_search,saas,page,/projects
user_175,2024-01-08T15:43:35,button_clicked,enterprise,FR,paid_search,saas,button_id,upgrade-plan
user_175,2024-01-08T15:47:16,export_completed,enterprise,FR,paid_search,saas,format,csv
user_175,2024-01-08T15:53:43,ai_summary_requested,enterprise,FR,paid_search,saas,doc_type,cohort
user_175,2024-01-08T16:00:52,search_performed,enterprise,FR,paid_search,saas,query_length,22
user_124,2024-01-10T00:00:00,page_viewed,free,GB,paid_search,finance,page,/home
user_124,2024-01-10T00:04:46,settings_opened,free,GB,paid_search,finance,tab,team
user_124,2024-01-10T00:11:35,link_clicked,free,GB,paid_search,finance,href,/blog
user_124,2024-01-10T00:13:15,invite_sent,free,GB,paid_search,finance,role,admin
user_124,2024-01-10T00:20:00,dashboard_opened,free,GB,paid_search,finance,section,funnels
user_124,2024-01-10T00:21:24,button_clicked,free,GB,paid_search,finance,button_id,export
user_124,2024-01-10T00:23:16,ai_summary_requested,free,GB,paid_search,finance,doc_type,report
user_124,2024-01-10T00:27:46,profile_updated,free,GB,paid_search,finance,,
user_124,2024-01-10T00:34:00,page_viewed,free,GB,paid_search,finance,page,/projects
user_199,2024-01-10T03:28:24,page_viewed,pro,PL,organic,media,page,/settings
user_199,2024-01-10T03:30:30,page_viewed,pro,PL,organic,media,page,/team
user_199,2024-01-10T03:33:01,link_clicked,pro,PL,organic,media,href,/pricing
user_199,2024-01-10T03:41:48,filter_applied,pro,PL,organic,media,filter_key,date_range
user_199,2024-01-10T03:43:58,page_viewed,pro,PL,organic,media,page,/team
user_199,2024-01-10T03:47:08,profile_updated,pro,PL,organic,media,,
user_199,2024-01-10T03:48:09,filter_applied,pro,PL,organic,media,filter_key,event_type
user_199,2024-01-10T03:49:03,report_created,pro,PL,organic,media,report_type,cohort
user_199,2024-01-10T03:53:37,button_clicked,pro,PL,organic,media,button_id,run-ai
user_199,2024-01-10T03:53:56,ai_summary_viewed,pro,PL,organic,media,rating,not_helpful
user_199,2024-01-10T03:58:27,page_viewed,pro,PL,organic,media,page,/billing
user_199,2024-01-10T04:04:43,link_clicked,pro,PL,organic,media,href,/blog
user_199,2024-01-10T04:11:06,page_viewed,pro,PL,organic,media,page,/projects
user_199,2024-01-10T04:15:39,export_started,pro,PL,organic,media,format,pdf
user_199,2024-01-10T04:21:42,ai_summary_requested,pro,PL,organic,media,doc_type,event_log
user_199,2024-01-10T04:26:55,export_completed,pro,PL,organic,media,format,pdf
user_199,2024-01-10T04:32:13,settings_opened,pro,PL,organic,media,tab,billing
user_199,2024-01-10T04:32:40,report_created,pro,PL,organic,media,report_type,custom
user_199,2024-01-10T04:38:17,button_clicked,pro,PL,organic,media,button_id,run-ai
user_199,2024-01-10T04:39:55,feature_tour_started,pro,PL,organic,media,,
user_192,2024-01-10T08:05:30,page_viewed,pro,GB,referral,finance,page,/billing
user_192,2024-01-10T08:09:33,feature_tour_started,pro,GB,referral,finance,,
user_192,2024-01-10T08:16:49,profile_updated,pro,GB,referral,finance,,
user_192,2024-01-10T08:21:17,filter_applied,pro,GB,referral,finance,filter_key,event_type
user_192,2024-01-10T08:26:21,button_clicked,pro,GB,referral,finance,button_id,create-report
user_192,2024-01-10T08:32:12,button_clicked,pro,GB,referral,finance,button_id,invite-member
user_192,2024-01-10T08:40:32,ai_summary_requested,pro,GB,referral,finance,doc_type,event_log
user_192,2024-01-10T08:41:03,project_created,pro,GB,referral,finance,template,blank
user_192,2024-01-10T08:45:07,search_performed,pro,GB,referral,finance,query_length,36
user_192,2024-01-10T08:54:23,search_performed,pro,GB,referral,finance,query_length,28
user_192,2024-01-10T08:55:55,button_clicked,pro,GB,referral,finance,button_id,upgrade-plan
user_192,2024-01-10T08:57:32,report_created,pro,GB,referral,finance,report_type,custom
